[INFO ] 2016-02-02 06:54:26,978 -- WorkingPath: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\
[INFO ] 2016-02-02 06:54:26,996 -- Your original rating data path: C:\Users\irecs\Desktop\Data\music\ratings.txt
[INFO ] 2016-02-02 06:54:26,997 -- Current working path: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\
[WARN ] 2016-02-02 06:54:27,007 -- You rating data is in Compact format. CARSKit is working on transformation on the data format...
[INFO ] 2016-02-02 06:54:27,731 -- Data transformaton completed (from Compact to Binary format). See new rating file: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\ratings_binary.txt
[INFO ] 2016-02-02 06:54:27,760 -- Dataset: ...ARSKit.Workspace\ratings_binary.txt
[INFO ] 2016-02-02 06:54:27,765 -- DataPath: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\ratings_binary.txt
[INFO ] 2016-02-02 06:54:28,354 -- Rating data set has been successfully loaded.
[INFO ] 2016-02-02 06:54:28,371 -- 
/***************************************************************************************************************************************************
 *
 * Dataset: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\ratings_binary.txt
 * User amount: 42
 * Item amount: 139
 * Rate amount: 3938
 * Context dimensions: 8 (drivingstyle, landscape, mood, naturalphenomena, roadtype, sleepiness, trafficconditions, weather)
 * Context conditions: 34 (drivingstyle: 3, landscape: 5, mood: 5, naturalphenomena: 5, roadtype: 4, sleepiness: 3, trafficconditions: 4, weather: 5)
 * Context situations: 27
 * Contextual Data density: 8.0978%
 * Scale distribution: [0.0 x 122, 3.0 x 652, 2.0 x 705, 1.0 x 1452, 4.0 x 513, 5.0 x 494]
 * 
 * Average value of all ratings: 2.447647
 * Standard deviation of all ratings: 1.474440
 * Mode of all rating values: 1.000000
 * Median of all rating values: 2.000000
 *
 ***************************************************************************************************************************************************/
[INFO ] 2016-02-02 06:54:28,372 -- Dataset: ...ARSKit.Workspace\ratings_binary.txt
[INFO ] 2016-02-02 06:54:28,372 -- DataPath: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\ratings_binary.txt
[INFO ] 2016-02-02 06:54:28,630 -- Rating data set has been successfully loaded.
[INFO ] 2016-02-02 06:54:28,633 -- With Setup: cv -k 5 -p on --rand-seed 1 --test-view all
[DEBUG] 2016-02-02 06:54:28,728 -- Fold [1]: training amount: 3029, test amount: 753
[DEBUG] 2016-02-02 06:54:28,751 -- Fold [2]: training amount: 3025, test amount: 757
[DEBUG] 2016-02-02 06:54:28,764 -- Fold [3]: training amount: 3023, test amount: 759
[DEBUG] 2016-02-02 06:54:28,781 -- Fold [4]: training amount: 3025, test amount: 757
[DEBUG] 2016-02-02 06:54:28,797 -- Fold [5]: training amount: 3026, test amount: 756
[DEBUG] 2016-02-02 06:54:30,167 -- CAMF_C fold [2] iter 61: loss = 3378.241, delta_loss = 0.025692455, learn_rate = 3.5579402E-9
[DEBUG] 2016-02-02 06:54:30,169 -- CAMF_C fold [1] iter 55: loss = 3295.3762, delta_loss = 0.017922249, learn_rate = 2.6549898E-9
[DEBUG] 2016-02-02 06:54:30,171 -- CAMF_C fold [5] iter 60: loss = 3360.6257, delta_loss = 0.008587696, learn_rate = 3.3885146E-9
[DEBUG] 2016-02-02 06:54:30,155 -- CAMF_C fold [3] iter 62: loss = 3178.8035, delta_loss = 6.5923814E-4, learn_rate = 3.7358374E-9
[DEBUG] 2016-02-02 06:54:30,181 -- CAMF_C fold [1] iter 56: loss = 3295.3574, delta_loss = 0.018816357, learn_rate = 2.7877392E-9
[DEBUG] 2016-02-02 06:54:30,181 -- CAMF_C fold [5] iter 61: loss = 3360.6167, delta_loss = 0.009015919, learn_rate = 3.5579402E-9
[DEBUG] 2016-02-02 06:54:30,189 -- CAMF_C fold [3] iter 63: loss = 3178.8027, delta_loss = 6.921677E-4, learn_rate = 3.922629E-9
[DEBUG] 2016-02-02 06:54:30,191 -- CAMF_C fold [5] iter 62: loss = 3360.6072, delta_loss = 0.009465435, learn_rate = 3.7358374E-9
[DEBUG] 2016-02-02 06:54:30,191 -- CAMF_C fold [1] iter 57: loss = 3295.3376, delta_loss = 0.019754969, learn_rate = 2.9271263E-9
[DEBUG] 2016-02-02 06:54:30,201 -- CAMF_C fold [1] iter 58: loss = 3295.317, delta_loss = 0.020740282, learn_rate = 3.0734826E-9
[DEBUG] 2016-02-02 06:54:30,209 -- CAMF_C fold [2] iter 62: loss = 3378.2139, delta_loss = 0.026973274, learn_rate = 3.7358374E-9
[DEBUG] 2016-02-02 06:54:30,210 -- CAMF_C fold [4] iter 61: loss = 3122.1353, delta_loss = 4.8762767E-4, learn_rate = 3.5579402E-9
[DEBUG] 2016-02-02 06:54:30,211 -- CAMF_C fold [3] iter 64: loss = 3178.802, delta_loss = 7.267402E-4, learn_rate = 4.1187604E-9
[DEBUG] 2016-02-02 06:54:30,218 -- CAMF_C fold [2] iter 63: loss = 3378.1858, delta_loss = 0.028317746, learn_rate = 3.922629E-9
[DEBUG] 2016-02-02 06:54:30,220 -- CAMF_C fold [3] iter 65: loss = 3178.8013, delta_loss = 7.6303777E-4, learn_rate = 4.3246984E-9
[DEBUG] 2016-02-02 06:54:30,223 -- CAMF_C fold [4] iter 62: loss = 3122.1348, delta_loss = 5.12004E-4, learn_rate = 3.7358374E-9
[DEBUG] 2016-02-02 06:54:30,228 -- CAMF_C fold [2] iter 64: loss = 3378.156, delta_loss = 0.02972901, learn_rate = 4.1187604E-9
[DEBUG] 2016-02-02 06:54:30,229 -- CAMF_C fold [3] iter 66: loss = 3178.8005, delta_loss = 8.011463E-4, learn_rate = 4.5409334E-9
[DEBUG] 2016-02-02 06:54:30,233 -- CAMF_C fold [4] iter 63: loss = 3122.1343, delta_loss = 5.3759856E-4, learn_rate = 3.922629E-9
[DEBUG] 2016-02-02 06:54:30,238 -- CAMF_C fold [3] iter 67: loss = 3178.7996, delta_loss = 8.4115565E-4, learn_rate = 4.7679802E-9
[DEBUG] 2016-02-02 06:54:30,238 -- CAMF_C fold [2] iter 65: loss = 3378.1248, delta_loss = 0.031210367, learn_rate = 4.3246984E-9
[DEBUG] 2016-02-02 06:54:30,245 -- CAMF_C fold [1] iter 59: loss = 3295.2952, delta_loss = 0.021774612, learn_rate = 3.2271568E-9
[DEBUG] 2016-02-02 06:54:30,248 -- CAMF_C fold [2] iter 66: loss = 3378.092, delta_loss = 0.03276527, learn_rate = 4.5409334E-9
[DEBUG] 2016-02-02 06:54:30,255 -- CAMF_C fold [1] iter 60: loss = 3295.2725, delta_loss = 0.022860385, learn_rate = 3.3885146E-9
[DEBUG] 2016-02-02 06:54:30,259 -- CAMF_C fold [2] iter 67: loss = 3378.0576, delta_loss = 0.03439734, learn_rate = 4.7679802E-9
[DEBUG] 2016-02-02 06:54:30,264 -- CAMF_C fold [1] iter 61: loss = 3295.2483, delta_loss = 0.024000145, learn_rate = 3.5579402E-9
[DEBUG] 2016-02-02 06:54:30,269 -- CAMF_C fold [2] iter 68: loss = 3378.0215, delta_loss = 0.036110386, learn_rate = 5.0063793E-9
[DEBUG] 2016-02-02 06:54:30,270 -- CAMF_C fold [4] iter 64: loss = 3122.1338, delta_loss = 5.644721E-4, learn_rate = 4.1187604E-9
[DEBUG] 2016-02-02 06:54:30,273 -- CAMF_C fold [1] iter 62: loss = 3295.2231, delta_loss = 0.025196558, learn_rate = 3.7358374E-9
[DEBUG] 2016-02-02 06:54:30,279 -- CAMF_C fold [4] iter 65: loss = 3122.133, delta_loss = 5.926889E-4, learn_rate = 4.3246984E-9
[DEBUG] 2016-02-02 06:54:30,283 -- CAMF_C fold [3] iter 68: loss = 3178.7988, delta_loss = 8.831605E-4, learn_rate = 5.0063793E-9
[DEBUG] 2016-02-02 06:54:30,239 -- CAMF_C fold [5] iter 63: loss = 3360.5974, delta_loss = 0.009937295, learn_rate = 3.922629E-9
[DEBUG] 2016-02-02 06:54:30,290 -- CAMF_C fold [4] iter 66: loss = 3122.1326, delta_loss = 6.223158E-4, learn_rate = 4.5409334E-9
[DEBUG] 2016-02-02 06:54:30,294 -- CAMF_C fold [3] iter 69: loss = 3178.7979, delta_loss = 9.272605E-4, learn_rate = 5.256698E-9
[DEBUG] 2016-02-02 06:54:30,299 -- CAMF_C fold [4] iter 67: loss = 3122.1318, delta_loss = 6.534232E-4, learn_rate = 4.7679802E-9
[DEBUG] 2016-02-02 06:54:30,303 -- CAMF_C fold [3] iter 70: loss = 3178.7969, delta_loss = 9.735592E-4, learn_rate = 5.519533E-9
[DEBUG] 2016-02-02 06:54:30,303 -- CAMF_C fold [5] iter 64: loss = 3360.587, delta_loss = 0.010432604, learn_rate = 4.1187604E-9
[DEBUG] 2016-02-02 06:54:30,315 -- CAMF_C fold [2] iter 69: loss = 3377.9836, delta_loss = 0.037908383, learn_rate = 5.256698E-9
[DEBUG] 2016-02-02 06:54:30,315 -- CAMF_C fold [5] iter 65: loss = 3360.576, delta_loss = 0.010952519, learn_rate = 4.3246984E-9
[DEBUG] 2016-02-02 06:54:30,319 -- CAMF_C fold [1] iter 63: loss = 3295.1968, delta_loss = 0.026452424, learn_rate = 3.922629E-9
[DEBUG] 2016-02-02 06:54:30,324 -- CAMF_C fold [2] iter 70: loss = 3377.9438, delta_loss = 0.03979551, learn_rate = 5.519533E-9
[DEBUG] 2016-02-02 06:54:30,325 -- CAMF_C fold [5] iter 66: loss = 3360.5645, delta_loss = 0.011498255, learn_rate = 4.5409334E-9
[DEBUG] 2016-02-02 06:54:30,325 -- CAMF_C fold [4] iter 68: loss = 3122.131, delta_loss = 6.860851E-4, learn_rate = 5.0063793E-9
[DEBUG] 2016-02-02 06:54:30,329 -- CAMF_C fold [1] iter 64: loss = 3295.169, delta_loss = 0.027770678, learn_rate = 4.1187604E-9
[DEBUG] 2016-02-02 06:54:30,330 -- CAMF_C fold [2] iter 71: loss = 3377.902, delta_loss = 0.041776147, learn_rate = 5.79551E-9
[DEBUG] 2016-02-02 06:54:30,331 -- CAMF_C fold [4] iter 69: loss = 3122.1304, delta_loss = 7.2037923E-4, learn_rate = 5.256698E-9
[DEBUG] 2016-02-02 06:54:30,334 -- CAMF_C fold [1] iter 65: loss = 3295.14, delta_loss = 0.029154398, learn_rate = 4.3246984E-9
[DEBUG] 2016-02-02 06:54:30,335 -- CAMF_C fold [2] iter 72: loss = 3377.8582, delta_loss = 0.04385488, learn_rate = 6.085285E-9
[DEBUG] 2016-02-02 06:54:30,336 -- CAMF_C fold [5] iter 67: loss = 3360.5525, delta_loss = 0.012071083, learn_rate = 4.7679802E-9
[DEBUG] 2016-02-02 06:54:30,337 -- CAMF_C fold [4] iter 70: loss = 3122.1296, delta_loss = 7.563869E-4, learn_rate = 5.519533E-9
[DEBUG] 2016-02-02 06:54:30,343 -- CAMF_C fold [2] iter 73: loss = 3377.812, delta_loss = 0.046036523, learn_rate = 6.3895493E-9
[DEBUG] 2016-02-02 06:54:30,323 -- CAMF_C fold [3] iter 71: loss = 3178.796, delta_loss = 0.0010221666, learn_rate = 5.79551E-9
[DEBUG] 2016-02-02 06:54:30,343 -- CAMF_C fold [4] iter 71: loss = 3122.129, delta_loss = 7.94194E-4, learn_rate = 5.79551E-9
[DEBUG] 2016-02-02 06:54:30,346 -- CAMF_C fold [1] iter 66: loss = 3295.1091, delta_loss = 0.03060681, learn_rate = 4.5409334E-9
[DEBUG] 2016-02-02 06:54:30,348 -- CAMF_C fold [3] iter 72: loss = 3178.7947, delta_loss = 0.0010731968, learn_rate = 6.085285E-9
[DEBUG] 2016-02-02 06:54:30,349 -- CAMF_C fold [4] iter 72: loss = 3122.128, delta_loss = 8.3389005E-4, learn_rate = 6.085285E-9
[DEBUG] 2016-02-02 06:54:30,351 -- CAMF_C fold [1] iter 67: loss = 3295.0771, delta_loss = 0.0321313, learn_rate = 4.7679802E-9
[DEBUG] 2016-02-02 06:54:30,355 -- CAMF_C fold [2] iter 74: loss = 3377.7637, delta_loss = 0.048326112, learn_rate = 6.709027E-9
[DEBUG] 2016-02-02 06:54:30,356 -- CAMF_C fold [4] iter 73: loss = 3122.1272, delta_loss = 8.755695E-4, learn_rate = 6.3895493E-9
[DEBUG] 2016-02-02 06:54:30,358 -- CAMF_C fold [3] iter 73: loss = 3178.7937, delta_loss = 0.0011267707, learn_rate = 6.3895493E-9
[DEBUG] 2016-02-02 06:54:30,363 -- CAMF_C fold [3] iter 74: loss = 3178.7925, delta_loss = 0.0011830146, learn_rate = 6.709027E-9
[DEBUG] 2016-02-02 06:54:30,364 -- CAMF_C fold [5] iter 68: loss = 3360.5398, delta_loss = 0.0126723405, learn_rate = 5.0063793E-9
[DEBUG] 2016-02-02 06:54:30,368 -- CAMF_C fold [3] iter 75: loss = 3178.7913, delta_loss = 0.0012420609, learn_rate = 7.0444783E-9
[DEBUG] 2016-02-02 06:54:30,372 -- CAMF_C fold [2] iter 75: loss = 3377.7131, delta_loss = 0.05072893, learn_rate = 7.0444783E-9
[DEBUG] 2016-02-02 06:54:30,372 -- CAMF_C fold [5] iter 69: loss = 3360.5264, delta_loss = 0.013303425, learn_rate = 5.256698E-9
[DEBUG] 2016-02-02 06:54:30,374 -- CAMF_C fold [3] iter 76: loss = 3178.7898, delta_loss = 0.0013040488, learn_rate = 7.3967024E-9
[DEBUG] 2016-02-02 06:54:30,379 -- CAMF_C fold [5] iter 70: loss = 3360.5125, delta_loss = 0.013965806, learn_rate = 5.519533E-9
[DEBUG] 2016-02-02 06:54:30,382 -- CAMF_C fold [2] iter 76: loss = 3377.6597, delta_loss = 0.053250507, learn_rate = 7.3967024E-9
[DEBUG] 2016-02-02 06:54:30,384 -- CAMF_C fold [5] iter 71: loss = 3360.4978, delta_loss = 0.01466102, learn_rate = 5.79551E-9
[DEBUG] 2016-02-02 06:54:30,384 -- CAMF_C fold [1] iter 68: loss = 3295.0432, delta_loss = 0.033731416, learn_rate = 5.0063793E-9
[DEBUG] 2016-02-02 06:54:30,388 -- CAMF_C fold [2] iter 77: loss = 3377.604, delta_loss = 0.055896647, learn_rate = 7.766538E-9
[DEBUG] 2016-02-02 06:54:30,389 -- CAMF_C fold [4] iter 74: loss = 3122.1262, delta_loss = 9.193315E-4, learn_rate = 6.709027E-9
[DEBUG] 2016-02-02 06:54:30,390 -- CAMF_C fold [1] iter 69: loss = 3295.0078, delta_loss = 0.03541088, learn_rate = 5.256698E-9
[DEBUG] 2016-02-02 06:54:30,394 -- CAMF_C fold [2] iter 78: loss = 3377.5452, delta_loss = 0.05867342, learn_rate = 8.154864E-9
[DEBUG] 2016-02-02 06:54:30,395 -- CAMF_C fold [4] iter 75: loss = 3122.1252, delta_loss = 9.652798E-4, learn_rate = 7.0444783E-9
[DEBUG] 2016-02-02 06:54:30,395 -- CAMF_C fold [1] iter 70: loss = 3294.9707, delta_loss = 0.037173588, learn_rate = 5.519533E-9
[DEBUG] 2016-02-02 06:54:30,399 -- CAMF_C fold [5] iter 72: loss = 3360.4824, delta_loss = 0.01539068, learn_rate = 6.085285E-9
[DEBUG] 2016-02-02 06:54:30,400 -- CAMF_C fold [1] iter 71: loss = 3294.9316, delta_loss = 0.039023634, learn_rate = 5.79551E-9
[DEBUG] 2016-02-02 06:54:30,401 -- CAMF_C fold [2] iter 79: loss = 3377.4836, delta_loss = 0.061587185, learn_rate = 8.5626075E-9
[DEBUG] 2016-02-02 06:54:30,401 -- CAMF_C fold [4] iter 76: loss = 3122.1243, delta_loss = 0.0010135237, learn_rate = 7.3967024E-9
[DEBUG] 2016-02-02 06:54:30,405 -- CAMF_C fold [5] iter 73: loss = 3360.4663, delta_loss = 0.016156478, learn_rate = 6.3895493E-9
[DEBUG] 2016-02-02 06:54:30,406 -- CAMF_C fold [1] iter 72: loss = 3294.8906, delta_loss = 0.040965296, learn_rate = 6.085285E-9
[DEBUG] 2016-02-02 06:54:30,406 -- CAMF_C fold [2] iter 80: loss = 3377.419, delta_loss = 0.064644605, learn_rate = 8.990738E-9
[DEBUG] 2016-02-02 06:54:30,411 -- CAMF_C fold [1] iter 73: loss = 3294.8477, delta_loss = 0.043003067, learn_rate = 6.3895493E-9
[DEBUG] 2016-02-02 06:54:30,409 -- CAMF_C fold [3] iter 77: loss = 3178.7886, delta_loss = 0.0013691245, learn_rate = 7.766538E-9
[DEBUG] 2016-02-02 06:54:30,417 -- CAMF_C fold [3] iter 78: loss = 3178.787, delta_loss = 0.0014374409, learn_rate = 8.154864E-9
[DEBUG] 2016-02-02 06:54:30,417 -- CAMF_C fold [5] iter 74: loss = 3360.4492, delta_loss = 0.016960181, learn_rate = 6.709027E-9
[DEBUG] 2016-02-02 06:54:30,423 -- CAMF_C fold [3] iter 79: loss = 3178.7856, delta_loss = 0.0015091589, learn_rate = 8.5626075E-9
[DEBUG] 2016-02-02 06:54:30,425 -- CAMF_C fold [5] iter 75: loss = 3360.4314, delta_loss = 0.01780365, learn_rate = 7.0444783E-9
[DEBUG] 2016-02-02 06:54:30,428 -- CAMF_C fold [3] iter 80: loss = 3178.784, delta_loss = 0.001584447, learn_rate = 8.990738E-9
[DEBUG] 2016-02-02 06:54:30,430 -- CAMF_C fold [5] iter 76: loss = 3360.4128, delta_loss = 0.018688828, learn_rate = 7.3967024E-9
[DEBUG] 2016-02-02 06:54:30,433 -- CAMF_C fold [3] iter 81: loss = 3178.7822, delta_loss = 0.0016634823, learn_rate = 9.440274E-9
[DEBUG] 2016-02-02 06:54:30,435 -- CAMF_C fold [5] iter 77: loss = 3360.393, delta_loss = 0.019617753, learn_rate = 7.766538E-9
[DEBUG] 2016-02-02 06:54:30,438 -- CAMF_C fold [3] iter 82: loss = 3178.7805, delta_loss = 0.0017464502, learn_rate = 9.912289E-9
[DEBUG] 2016-02-02 06:54:30,441 -- CAMF_C fold [5] iter 78: loss = 3360.3726, delta_loss = 0.020592563, learn_rate = 8.154864E-9
[DEBUG] 2016-02-02 06:54:30,443 -- CAMF_C fold [3] iter 83: loss = 3178.7788, delta_loss = 0.0018335454, learn_rate = 1.0407903E-8
[DEBUG] 2016-02-02 06:54:30,407 -- CAMF_C fold [4] iter 77: loss = 3122.1233, delta_loss = 0.0010641777, learn_rate = 7.766538E-9
[DEBUG] 2016-02-02 06:54:30,417 -- CAMF_C fold [2] iter 81: loss = 3377.351, delta_loss = 0.06785266, learn_rate = 9.440274E-9
[DEBUG] 2016-02-02 06:54:30,446 -- CAMF_C fold [1] iter 74: loss = 3294.8025, delta_loss = 0.045141656, learn_rate = 6.709027E-9
[DEBUG] 2016-02-02 06:54:30,448 -- CAMF_C fold [5] iter 79: loss = 3360.3508, delta_loss = 0.02161549, learn_rate = 8.5626075E-9
[DEBUG] 2016-02-02 06:54:30,449 -- CAMF_C fold [2] iter 82: loss = 3377.28, delta_loss = 0.07121865, learn_rate = 9.912289E-9
[DEBUG] 2016-02-02 06:54:30,452 -- CAMF_C fold [1] iter 75: loss = 3294.7551, delta_loss = 0.047385994, learn_rate = 7.0444783E-9
[DEBUG] 2016-02-02 06:54:30,454 -- CAMF_C fold [4] iter 78: loss = 3122.122, delta_loss = 0.0011173623, learn_rate = 8.154864E-9
[DEBUG] 2016-02-02 06:54:30,454 -- CAMF_C fold [2] iter 83: loss = 3377.205, delta_loss = 0.07475021, learn_rate = 1.0407903E-8
[DEBUG] 2016-02-02 06:54:30,457 -- CAMF_C fold [1] iter 76: loss = 3294.7056, delta_loss = 0.049741246, learn_rate = 7.3967024E-9
[DEBUG] 2016-02-02 06:54:30,460 -- CAMF_C fold [4] iter 79: loss = 3122.1208, delta_loss = 0.0011732033, learn_rate = 8.5626075E-9
[DEBUG] 2016-02-02 06:54:30,460 -- CAMF_C fold [2] iter 84: loss = 3377.1267, delta_loss = 0.07845536, learn_rate = 1.0928298E-8
[DEBUG] 2016-02-02 06:54:30,464 -- CAMF_C fold [1] iter 77: loss = 3294.6533, delta_loss = 0.052212823, learn_rate = 7.766538E-9
[DEBUG] 2016-02-02 06:54:30,464 -- CAMF_C fold [3] iter 84: loss = 3178.7769, delta_loss = 0.0019249722, learn_rate = 1.0928298E-8
[DEBUG] 2016-02-02 06:54:30,465 -- CAMF_C fold [2] iter 85: loss = 3377.0444, delta_loss = 0.08234246, learn_rate = 1.1474713E-8
[DEBUG] 2016-02-02 06:54:30,470 -- CAMF_C fold [1] iter 78: loss = 3294.5984, delta_loss = 0.054806396, learn_rate = 8.154864E-9
[DEBUG] 2016-02-02 06:54:30,471 -- CAMF_C fold [2] iter 86: loss = 3376.958, delta_loss = 0.08642028, learn_rate = 1.20484485E-8
[DEBUG] 2016-02-02 06:54:30,475 -- CAMF_C fold [3] iter 85: loss = 3178.775, delta_loss = 0.0020209448, learn_rate = 1.1474713E-8
[DEBUG] 2016-02-02 06:54:30,476 -- CAMF_C fold [1] iter 79: loss = 3294.541, delta_loss = 0.057527907, learn_rate = 8.5626075E-9
[DEBUG] 2016-02-02 06:54:30,480 -- CAMF_C fold [3] iter 86: loss = 3178.7727, delta_loss = 0.0021216876, learn_rate = 1.20484485E-8
[DEBUG] 2016-02-02 06:54:30,486 -- CAMF_C fold [3] iter 87: loss = 3178.7705, delta_loss = 0.002227437, learn_rate = 1.2650871E-8
[DEBUG] 2016-02-02 06:54:30,490 -- CAMF_C fold [5] iter 80: loss = 3360.3284, delta_loss = 0.02268888, learn_rate = 8.990738E-9
[DEBUG] 2016-02-02 06:54:30,492 -- CAMF_C fold [3] iter 88: loss = 3178.768, delta_loss = 0.0023384395, learn_rate = 1.3283414E-8
[DEBUG] 2016-02-02 06:54:30,497 -- CAMF_C fold [5] iter 81: loss = 3360.3044, delta_loss = 0.023815185, learn_rate = 9.440274E-9
[DEBUG] 2016-02-02 06:54:30,499 -- CAMF_C fold [3] iter 89: loss = 3178.7656, delta_loss = 0.0024549544, learn_rate = 1.3947585E-8
[DEBUG] 2016-02-02 06:54:30,503 -- CAMF_C fold [5] iter 82: loss = 3360.2795, delta_loss = 0.024996975, learn_rate = 9.912289E-9
[DEBUG] 2016-02-02 06:54:30,504 -- CAMF_C fold [4] iter 80: loss = 3122.1196, delta_loss = 0.0012318338, learn_rate = 8.990738E-9
[DEBUG] 2016-02-02 06:54:30,506 -- CAMF_C fold [2] iter 87: loss = 3376.8672, delta_loss = 0.09069798, learn_rate = 1.2650871E-8
[DEBUG] 2016-02-02 06:54:30,508 -- CAMF_C fold [5] iter 83: loss = 3360.2532, delta_loss = 0.02623694, learn_rate = 1.0407903E-8
[DEBUG] 2016-02-02 06:54:30,510 -- CAMF_C fold [4] iter 81: loss = 3122.1184, delta_loss = 0.0012933929, learn_rate = 9.440274E-9
[DEBUG] 2016-02-02 06:54:30,514 -- CAMF_C fold [5] iter 84: loss = 3360.2256, delta_loss = 0.027537894, learn_rate = 1.0928298E-8
[DEBUG] 2016-02-02 06:54:30,516 -- CAMF_C fold [4] iter 82: loss = 3122.117, delta_loss = 0.0013580265, learn_rate = 9.912289E-9
[DEBUG] 2016-02-02 06:54:30,520 -- CAMF_C fold [2] iter 88: loss = 3376.772, delta_loss = 0.09518515, learn_rate = 1.3283414E-8
[DEBUG] 2016-02-02 06:54:30,521 -- CAMF_C fold [5] iter 85: loss = 3360.1968, delta_loss = 0.028902782, learn_rate = 1.1474713E-8
[DEBUG] 2016-02-02 06:54:30,523 -- CAMF_C fold [4] iter 83: loss = 3122.1155, delta_loss = 0.001425888, learn_rate = 1.0407903E-8
[DEBUG] 2016-02-02 06:54:30,525 -- CAMF_C fold [2] iter 89: loss = 3376.672, delta_loss = 0.09989182, learn_rate = 1.3947585E-8
[DEBUG] 2016-02-02 06:54:30,529 -- CAMF_C fold [1] iter 80: loss = 3294.4805, delta_loss = 0.06038357, learn_rate = 8.990738E-9
[DEBUG] 2016-02-02 06:54:30,529 -- CAMF_C fold [4] iter 84: loss = 3122.114, delta_loss = 0.0014971386, learn_rate = 1.0928298E-8
[DEBUG] 2016-02-02 06:54:30,532 -- CAMF_C fold [2] iter 90: loss = 3376.5674, delta_loss = 0.10482846, learn_rate = 1.4644964E-8
[DEBUG] 2016-02-02 06:54:30,534 -- CAMF_C fold [1] iter 81: loss = 3294.4172, delta_loss = 0.063379906, learn_rate = 9.440274E-9
[DEBUG] 2016-02-02 06:54:30,535 -- CAMF_C fold [4] iter 85: loss = 3122.1125, delta_loss = 0.0015719474, learn_rate = 1.1474713E-8
[DEBUG] 2016-02-02 06:54:30,544 -- CAMF_C fold [3] iter 90: loss = 3178.7632, delta_loss = 0.0025772536, learn_rate = 1.4644964E-8
[DEBUG] 2016-02-02 06:54:30,545 -- CAMF_C fold [5] iter 86: loss = 3360.1665, delta_loss = 0.030334692, learn_rate = 1.20484485E-8
[DEBUG] 2016-02-02 06:54:30,549 -- CAMF_C fold [2] iter 91: loss = 3376.4573, delta_loss = 0.110006034, learn_rate = 1.5377212E-8
[DEBUG] 2016-02-02 06:54:30,551 -- CAMF_C fold [3] iter 91: loss = 3178.7603, delta_loss = 0.0027056222, learn_rate = 1.5377212E-8
[DEBUG] 2016-02-02 06:54:30,551 -- CAMF_C fold [5] iter 87: loss = 3360.1345, delta_loss = 0.03183685, learn_rate = 1.2650871E-8
[DEBUG] 2016-02-02 06:54:30,554 -- CAMF_C fold [2] iter 92: loss = 3376.3418, delta_loss = 0.11543598, learn_rate = 1.6146073E-8
[DEBUG] 2016-02-02 06:54:30,555 -- CAMF_C fold [1] iter 82: loss = 3294.3506, delta_loss = 0.066523716, learn_rate = 9.912289E-9
[DEBUG] 2016-02-02 06:54:30,557 -- CAMF_C fold [4] iter 86: loss = 3122.1108, delta_loss = 0.0016504915, learn_rate = 1.20484485E-8
[DEBUG] 2016-02-02 06:54:30,558 -- CAMF_C fold [5] iter 88: loss = 3360.101, delta_loss = 0.033412628, learn_rate = 1.3283414E-8
[DEBUG] 2016-02-02 06:54:30,558 -- CAMF_C fold [3] iter 92: loss = 3178.7576, delta_loss = 0.0028403588, learn_rate = 1.6146073E-8
[DEBUG] 2016-02-02 06:54:30,561 -- CAMF_C fold [1] iter 83: loss = 3294.2808, delta_loss = 0.069822155, learn_rate = 1.0407903E-8
[DEBUG] 2016-02-02 06:54:30,563 -- CAMF_C fold [4] iter 87: loss = 3122.1091, delta_loss = 0.0017329575, learn_rate = 1.2650871E-8
[DEBUG] 2016-02-02 06:54:30,564 -- CAMF_C fold [3] iter 93: loss = 3178.7546, delta_loss = 0.0029817768, learn_rate = 1.6953377E-8
[DEBUG] 2016-02-02 06:54:30,566 -- CAMF_C fold [1] iter 84: loss = 3294.2075, delta_loss = 0.07328268, learn_rate = 1.0928298E-8
[DEBUG] 2016-02-02 06:54:30,568 -- CAMF_C fold [4] iter 88: loss = 3122.1074, delta_loss = 0.0018195409, learn_rate = 1.3283414E-8
[DEBUG] 2016-02-02 06:54:30,569 -- CAMF_C fold [3] iter 94: loss = 3178.7515, delta_loss = 0.0031302047, learn_rate = 1.7801046E-8
[DEBUG] 2016-02-02 06:54:30,569 -- CAMF_C fold [5] iter 89: loss = 3360.0662, delta_loss = 0.035065558, learn_rate = 1.3947585E-8
[DEBUG] 2016-02-02 06:54:30,573 -- CAMF_C fold [1] iter 85: loss = 3294.1306, delta_loss = 0.07691311, learn_rate = 1.1474713E-8
[DEBUG] 2016-02-02 06:54:30,573 -- CAMF_C fold [4] iter 89: loss = 3122.1055, delta_loss = 0.0019104467, learn_rate = 1.3947585E-8
[DEBUG] 2016-02-02 06:54:30,574 -- CAMF_C fold [3] iter 95: loss = 3178.748, delta_loss = 0.0032859868, learn_rate = 1.8691098E-8
[DEBUG] 2016-02-02 06:54:30,580 -- CAMF_C fold [5] iter 90: loss = 3360.0293, delta_loss = 0.03679933, learn_rate = 1.4644964E-8
